,STEM,mean,stdev,t-test,p-value
Knowledge,0,0.224,0.138,4.9781,< 0.01
,1,0.297,0.162,,
Carelessness,0,0.12,0.067,5.0178,< 0.01
,1,0.155,0.0776,,
Correct,0,0.419,0.129,4.9512,< 0.01
,1,0.485,0.145,,
Bored,0,0.253,0.035,0.3535,0.7239
,1,0.254,0.032,,
Eng con,0,0.648,0.03,1.129,0.2618
,1,0.651,0.026,,
Confidence,0,0.106,0.04,0.042,0.9664
,1,0.106,0.037,,
Frustration,0,0.129,0.049,-2.6,< 0.01
,1,0.116,0.051,,
Off task,0,0.219,0.086,0.569,0.569
,1,0.223,0.074,,
Gaming,0,0.112,0.127,-3.37,< 0.01
,1,0.078,0.098,,
